KGISWardID,KGISWardCode,LGD_WardCode,KGISWardNo,KGISWardName,KGISTownCode,LST_mean_C,NDVI_mean,NDBI_mean,NDWI_mean,valid_pixels
5259,2003192,1302864.0,192,BTM Layout,2003,41.21,0.2726,-0.0177,-0.3216,1636
5262,2003193,1302865.0,193,N S Palya,2003,41.59,0.2615,-0.0055,-0.3123,1517
5007,2003066,1302738.0,66,Radhakrishna Temple Ward,2003,40.13,0.3376,-0.0539,-0.3842,2166
5010,2003067,1302739.0,67,Sanjaya Nagar,2003,41.81,0.3522,-0.0313,-0.4045,3450
5011,2003068,1302740.0,68,Vishwanath Nagenahalli,2003,43.08,0.2154,0.0353,-0.2851,1124
5015,2003070,1302742.0,70,Hebbala,2003,41.9,0.2836,-0.0093,-0.3384,1468
5019,2003072,1302744.0,72,Ganga Nagar,2003,41.34,0.2576,0.0064,-0.3131,981
5022,2003073,1302745.0,73,Jayachamarajendra  Nagar,2003,40.28,0.3821,-0.0757,-0.4127,1681
5014,2003069,1302741.0,69,Manorayanapalya,2003,42.09,0.2097,0.0289,-0.2753,906
4906,2003015,1303153.0,15,Kuvempunagar,2003,38.51,0.4084,-0.0641,-0.4471,5059
4902,2003013,1303151.0,13,Dodda Bommasandra,2003,40.33,0.4075,-0.0753,-0.4389,4445
4898,2003011,1303149.0,11,Byatarayanapura,2003,41.68,0.3782,-0.0307,-0.4392,10917
4903,2003014,1303152.0,14,Vidyaranyapura,2003,38.98,0.3191,-0.0541,-0.3732,2457
4911,2003018,1303156.0,18,Bagalakunte,2003,38.51,0.2639,0.0072,-0.3299,770
5098,2003111,1302783.0,111,Hagadur,2003,43.12,0.3158,-0.0036,-0.3836,7399
5099,2003112,1302784.0,112,Varthuru,2003,43.93,0.3076,0.0178,-0.3808,24448
5102,2003113,1302785.0,113,Munnekollala,2003,44.52,0.239,0.0578,-0.322,10453
6964,2003199,,199,Sarakki,2003,41.28,0.29,-0.0236,-0.3377,1711
5271,2003198,1302870.0,198,J P Nagar,2003,41.31,0.294,-0.0297,-0.3409,2160
5038,2003081,1302753.0,81,Horamavu,2003,42.66,0.3184,-0.016,-0.3767,13206
5039,2003082,1302754.0,82,Babusab Palya,2003,42.23,0.2475,0.0113,-0.3085,3004
5042,2003083,1302755.0,83,Kalkere,2003,43.94,0.2339,0.0375,-0.3055,8896
5050,2003087,1302759.0,87,Medahalli,2003,43.67,0.2366,0.0264,-0.3065,3645
5043,2003084,1302756.0,84,Ramamurthy Nagara,2003,42.75,0.2183,0.0234,-0.285,2224
5046,2003085,1302757.0,85,Vijinapura,2003,42.96,0.2364,0.0234,-0.2975,1645
5047,2003086,1302758.0,86,K R Puram,2003,41.86,0.3394,-0.0514,-0.3732,4918
